Date,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
1982-10-12,10.7598891021161,-26.5652931678504,-603.425242742767,635.084857213518,0.14753483787222,0.143220745742024
1982-10-13,10.6912903039799,-25.4244302999654,-604.123429726377,634.371974465799,0.138153304844515,0.134414519443928
1982-10-14,10.7368718979021,-21.3508970848548,-607.344418574643,631.084050508529,0.124085602777579,0.120890498720116
1982-10-15,10.8999525447901,-21.4933745195939,-607.244119295219,631.188149607528,0.121528405735974,0.118328791048883
1982-10-18,10.8246618834642,-15.3345245774219,-611.914153677126,626.430583639749,0.134202142844758,0.131498388779281
1982-10-19,10.7547756950504,-25.6661335945477,-604.547877968252,633.957341734302,0.127001789697472,0.123404398325479
1982-10-20,10.8296486948003,-26.3058196113648,-604.096325686663,634.425930671333,0.123350566693957,0.119768172597871
1982-10-21,10.8304359488629,-39.7301175575249,-594.643455488296,644.198750288689,0.119712197788791,0.115059368578229
1982-10-22,10.8985655301321,-10.0610346241901,-616.012106676556,622.396903221757,0.171646047100008,0.169840491226259
1982-10-25,11.1471048445673,-10.0571201287738,-615.713022707878,622.69844198432,0.188384901890235,0.186331934417785
1982-10-26,11.0369828917551,-9.54989655242017,-615.81334792505,622.597152311006,0.195165899394371,0.192946805585358
1982-10-27,11.0642968243927,-5.79104915608109,-618.692717873536,619.698143327355,0.242142272046924,0.240825208897441
1982-10-28,10.9682607481125,-3.94679755613013,-619.564243582173,618.82357202013,0.309610340275092,0.308794351222924
1982-10-29,10.8510577703977,-7.09123240558782,-617.702929116545,620.693728748451,0.18948480744901,0.188005755286468
1982-11-01,10.7121325650762,-3.74602553207706,-619.705691879489,618.68221263596,0.290939761792325,0.290295302895987
1982-11-02,NA,NA,NA,NA,NA,NA
1982-11-03,10.5126165099187,-2.58216327724013,-620.339333531366,618.048165595549,0.304948454991929,0.304944091868411
1982-11-04,10.4889772336338,-3.13508410751844,-619.862143443053,618.525334034807,0.303514574090459,0.303333841119233
1982-11-05,10.551703329772,-3.32282412111627,-619.375103570453,619.012574028708,0.415796406355121,0.415697969229421
